#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            50.000000           50.000000          100.000000          100.000000          200.000000          200.000000
   8.0000000    6.5576720667e-17    6.4313399506e-16   -1.2429643231e-16   -2.0983251326e-16    1.2171144078e-17    2.9422156809e-17
   9.0000000    6.6818715362e-17   -4.6572216454e-16    2.1320661266e-16   -1.6114424233e-16   -1.4057707526e-17    2.7929928150e-17
  10.0000000   -8.4514281859e-16   -7.1540741164e-17    2.2502393711e-16    6.7898070723e-17    3.1737430720e-18    1.2746072463e-17
  11.0000000   -2.6517443781e-16   -2.2936416315e-16   -9.8531226169e-17    8.3202328799e-17   -1.4808085845e-17   -1.0013172557e-16
  12.0000000    1.4941028807e-16   -1.7014258464e-17   -1.8208935034e-16    7.7370344039e-17   -1.0975712828e-17   -7.6468150124e-17
  13.0000000    3.9046702843e-16   -2.5233739743e-16   -1.6799709192e-16    1.1390045861e-16   -4.3357846454e-17   -9.3369124591e-17
  14.0000000   -1.6417104306e-16   -3.4503190246e-16    3.8678328325e-17    1.0352723888e-16   -3.3698959944e-17   -9.2849273204e-17
  15.0000000   -2.4952125601e-16   -4.1494205633e-16    6.8326088410e-17    4.9461990277e-17   -9.3940968226e-17   -1.0366735665e-17
  16.0000000   -1.1058491751e-16    1.5588413092e-16   -1.3391284863e-17   -4.5631770614e-17   -1.1872629389e-16    1.4036932323e-17
  17.0000000    2.7156566543e-17    5.8883475090e-16   -8.1292591143e-17    9.9283364870e-17   -4.6549869745e-17    9.7385746898e-18
  18.0000000    5.2688297892e-17    1.1689248046e-16   -1.6276626099e-16    3.9053441637e-16   -1.1261088321e-17    4.1379035342e-17
  19.0000000   -2.3592065059e-16    1.0877621320e-16   -1.4262312623e-16    2.3696852463e-16    8.8733798177e-17   -1.5853820826e-17
  20.0000000   -4.3099688242e-17   -2.2706299979e-16   -1.1846692986e-16   -5.1680250855e-17    9.6987258956e-17   -5.9481917130e-17
  21.0000000    3.6808561712e-17   -3.0731251682e-16   -2.4514065294e-16   -3.6930907438e-16    4.3794155161e-17    3.8722543230e-17
  22.0000000    7.4297964815e-16    1.4352263587e-16   -8.1648862544e-17   -4.0328056312e-16    9.4901215795e-17    5.6721398570e-17
  23.0000000   -2.2644600579e-16    2.3444471586e-16    2.6495853316e-16   -1.4841282301e-16    2.0388286494e-17    5.7056163793e-18
  24.0000000   -1.0823372850e-15   -1.9206252383e-15    1.6724800320e-16   -7.9100403325e-17   -1.3545988779e-17   -4.4150009080e-17
  25.0000000    8.7191041796e-17    4.1460007398e-15    2.5463944645e-16    8.2437228502e-17   -1.0069096485e-17    4.2235293003e-17
  26.0000000    2.1150644735e-15    1.1958792032e-14    2.8010638631e-16    1.7918772146e-16   -3.6062327434e-17   -3.8914312833e-18
  27.0000000   -3.2742201565e-15   -4.8526542034e-14    1.0100618123e-16    9.7057684918e-17   -8.1691007722e-17   -6.9846430355e-17
  28.0000000    1.8162899822e-14    1.7217265520e-14    1.2658701411e-16    5.7691652492e-18   -4.9132667121e-18   -3.9306439215e-17
