#       time         integral Re         integral Im         integral Re         integral Im
#       r =            50.000000           50.000000          200.000000          200.000000
 194.0000000    1.9291488354e-07   -1.2952581496e-07   -1.3541634725e-06    8.0200710627e-07
 195.0000000    4.2568749279e-08   -1.7533307091e-07   -1.2317838137e-06    1.9572435555e-07
 196.0000000   -6.2169282563e-10   -1.5047707287e-07   -8.5367809083e-07   -5.7577820057e-07
 197.0000000    7.4692820015e-08   -1.0156273600e-07   -2.8498768907e-07   -1.3271195813e-06
 198.0000000    1.5393578851e-07   -4.7991335063e-08    3.6823128230e-07   -1.8748859939e-06
 199.0000000    1.3435708299e-07    1.6669463667e-08    9.8736067184e-07   -2.0841729717e-06
 200.0000000    5.8040262312e-10    9.6144099768e-08    1.4695249227e-06   -1.8966089982e-06
 201.0000000   -1.8085218393e-07    1.5933766564e-07    1.7467818227e-06   -1.3361628984e-06
 202.0000000   -3.0473321481e-07    1.5523468203e-07    1.7918995080e-06   -4.9674998316e-07
 203.0000000   -2.8540797940e-07    6.8939910905e-08    1.6126903049e-06    4.8056483269e-07
 204.0000000   -1.1519671618e-07   -6.3310549567e-08    1.2413577768e-06    1.4334636968e-06
 205.0000000    1.0825650584e-07   -1.7214657679e-07    7.2571458952e-07    2.2030730399e-06
 206.0000000    2.4071290193e-07   -1.8250943807e-07    1.2551846722e-07    2.6561589936e-06
 207.0000000    2.0915269552e-07   -7.8632889132e-08   -4.8800477191e-07    2.7047055502e-06
 208.0000000    6.5678176302e-08    6.7675063427e-08   -1.0347699085e-06    2.3218581022e-06
 209.0000000   -5.8326679089e-08    1.6363823288e-07   -1.4352548869e-06    1.5513562008e-06
 210.0000000   -5.5021696360e-08    1.6940180065e-07   -1.6270251305e-06    5.0648407513e-07
 211.0000000    5.1441897523e-08    1.0056011115e-07   -1.5831258195e-06   -6.4447223592e-07
 212.0000000    1.2395226508e-07   -2.7945461361e-09   -1.3238929871e-06   -1.7061024591e-06
 213.0000000    7.5497052258e-08   -1.0079125364e-07   -9.1502833146e-07   -2.4926283477e-06
 214.0000000   -3.5335788213e-08   -1.7265468150e-07   -4.5026197876e-07   -2.8654600210e-06
 215.0000000   -1.0912230551e-07   -1.9511101178e-07   -2.3908888989e-08   -2.7621906248e-06
 216.0000000   -1.3268699967e-07   -1.3233381903e-07    2.9645245920e-07   -2.2094576344e-06
 217.0000000   -1.3047025253e-07    1.1651208144e-08    4.8661129197e-07   -1.3164181375e-06
 218.0000000   -7.5450625821e-08    1.6158177659e-07    5.6555214659e-07   -2.5086429505e-07
 219.0000000    4.2783961691e-08    2.2556674571e-07    5.7948484853e-07    7.9562898348e-07
 220.0000000    1.3139252086e-07    1.7630981902e-07    5.7755728470e-07    1.6450343815e-06
 221.0000000    7.9454399965e-08    6.3784612002e-08    5.8971325595e-07    2.1646869046e-06
 222.0000000   -9.0483536613e-08   -3.6334934888e-08    6.1554954180e-07    2.2879994609e-06
 223.0000000   -2.2603331609e-07   -9.0390592399e-08    6.2783523565e-07    2.0216273259e-06
 224.0000000   -1.8035778852e-07   -1.1530617655e-07    5.8805330326e-07    1.4394175090e-06
 225.0000000    7.2809914078e-08   -1.2134993986e-07    4.6662035500e-07    6.6541719662e-07
 226.0000000    3.9940896140e-07   -8.9852716165e-08    2.5910572993e-07   -1.5062483263e-07
 227.0000000    5.7332277378e-07   -1.4499289788e-08   -7.9956575766e-09   -8.6111723029e-07
 228.0000000    4.4911799665e-07    6.9887631320e-08   -2.8383409947e-07   -1.3472379397e-06
 229.0000000    7.9819470525e-08    1.0909615299e-07   -5.0915953459e-07   -1.5396204296e-06
 230.0000000   -3.5789081769e-07    6.2214297741e-08   -6.3539683150e-07   -1.4291150500e-06
 231.0000000   -6.6699901518e-07   -5.4327741387e-08   -6.3986785742e-07   -1.0653143258e-06
 232.0000000   -6.9473612170e-07   -1.4506306852e-07   -5.3202896624e-07   -5.4308932886e-07
 233.0000000   -4.3487414501e-07   -1.2436773396e-07   -3.4906757190e-07    1.9797089806e-08
 234.0000000   -5.1892322262e-08   -1.2203973203e-08   -1.4295987971e-07    5.0872520779e-07
 235.0000000    2.6586828140e-07    1.1151887504e-07    3.6145347868e-08    8.3578423791e-07
 236.0000000    4.6016975036e-07    2.0049875845e-07    1.5441704741e-07    9.5558342191e-07
 237.0000000    5.5056175248e-07    2.2379133021e-07    2.0199531238e-07    8.7025684234e-07
 238.0000000    5.0200363895e-07    1.4104693294e-07    1.9175897431e-07    6.2351921594e-07
 239.0000000    2.6579825021e-07   -2.4289771041e-08    1.5044086087e-07    2.8632375314e-07
 240.0000000   -9.8603952772e-08   -1.7881417658e-07    1.0605733858e-07   -6.1581281792e-08
 241.0000000   -4.1122814674e-07   -2.4686680648e-07    7.6791997634e-08   -3.4946799454e-07
 242.0000000   -4.8346267330e-07   -2.0393457591e-07    6.5619236387e-08   -5.2890822302e-07
 243.0000000   -2.7579875801e-07   -5.6128426453e-08    6.2383365009e-08   -5.8028464309e-07
 244.0000000    4.7712934759e-08    1.1846953128e-07    5.1800188986e-08   -5.1225602453e-07
 245.0000000    2.4135337248e-07    1.6167174315e-07    2.3301789519e-08   -3.5556499651e-07
 246.0000000    1.8878758425e-07    8.6238058333e-09   -2.2063523701e-08   -1.5355747870e-07
 247.0000000   -1.2481783998e-08   -1.8717652184e-07   -7.0987224799e-08    4.8045278439e-08
 248.0000000   -1.7376361866e-07   -1.9725052762e-07   -1.0381171076e-07    2.1006188796e-07
 249.0000000   -1.9477065685e-07    3.3457211146e-08   -1.0413963612e-07    3.0618544714e-07
 250.0000000   -1.1954692276e-07    3.3235657705e-07   -6.7476424560e-08    3.2621856421e-07
 251.0000000   -3.1007358210e-08    4.6324097856e-07   -4.6529262377e-09    2.7619264208e-07
 252.0000000    5.1113330528e-08    3.1575747939e-07    6.1777941287e-08    1.7563484156e-07
 253.0000000    1.5100625977e-07   -1.1739151593e-08    1.0666294355e-07    5.2481832763e-08
 254.0000000    2.7701815897e-07   -3.1346854905e-07    1.1278547116e-07   -6.3506634190e-08
 255.0000000    3.9690815568e-07   -4.5042970876e-07    7.8066396933e-08   -1.4752763530e-07
 256.0000000    4.3781055837e-07   -4.2830410305e-07    1.6256342165e-08   -1.8508311478e-07
 257.0000000    3.1431006637e-07   -3.1945168815e-07   -4.9039579462e-08   -1.7440391044e-07
 258.0000000   -1.5968488138e-08   -1.3364031974e-07   -9.4171128123e-08   -1.2520962268e-07
 259.0000000   -5.0674204592e-07    1.5588969552e-07   -1.0468006920e-07   -5.4275507129e-08
 260.0000000   -1.0143440850e-06    4.6916502520e-07   -8.0072373753e-08    2.0528399453e-08
 261.0000000   -1.2947530940e-06    6.0951961205e-07   -3.2479367303e-08    8.5460605666e-08
 262.0000000   -1.0752195560e-06    4.4957598387e-07    1.9613601833e-08    1.3348467791e-07
 263.0000000   -2.4850871878e-07    6.4826429295e-08    5.9342602837e-08    1.6351599618e-07
 264.0000000    9.5836981669e-07   -3.3930644900e-07    7.7528451352e-08    1.7721397215e-07
 265.0000000    2.0260340628e-06   -5.5559256601e-07    7.4512604118e-08    1.7533756279e-07
 266.0000000    2.3903016133e-06   -4.6317193150e-07    5.7662698040e-08    1.5582826719e-07
 267.0000000    1.7459582224e-06   -1.2104499933e-07    3.6431744803e-08    1.1482763472e-07
 268.0000000    2.4065848021e-07    2.4258707321e-07    1.7702315731e-08    5.0219899761e-08
 269.0000000   -1.5434131949e-06    4.0673866574e-07    3.5806596274e-09   -3.4190678242e-08
 270.0000000   -2.8185901531e-06    3.0258946121e-07   -7.7386389104e-09   -1.2634393312e-07
 271.0000000   -2.9571626940e-06    7.7310243788e-09   -1.9075223282e-08   -2.0724906791e-07
 272.0000000   -1.8253127027e-06   -3.1151356509e-07   -3.1308099365e-08   -2.5614320737e-07
 273.0000000    9.7809749992e-08   -4.4417688837e-07   -4.2152600786e-08   -2.5776405328e-07
 274.0000000    1.9308917535e-06   -2.5416076071e-07   -4.7333585412e-08   -2.0878241774e-07
 275.0000000    2.8510795314e-06    1.7292373638e-07   -4.3396996660e-08   -1.2048800228e-07
 276.0000000    2.5164052771e-06    5.5040058655e-07   -3.0439875678e-08   -1.6201487833e-08
 277.0000000    1.1942041402e-06    6.1277714310e-07   -1.3035626591e-08    7.5969674941e-08
 278.0000000   -4.2775070246e-07    3.1943799694e-07    1.4117536696e-09    1.3243821376e-07
 279.0000000   -1.6300655449e-06   -1.6816022074e-07    6.2303752220e-09    1.4197809945e-07
 280.0000000   -2.0215298025e-06   -6.0746506191e-07   -8.3194541576e-10    1.0909305076e-07
 281.0000000   -1.6348621502e-06   -7.7006448004e-07   -1.5818951248e-08    5.1660837775e-08
 282.0000000   -7.5400021337e-07   -5.6115639510e-07   -2.9850949547e-08   -6.1583144018e-09
 283.0000000    2.6249740260e-07   -8.9944524382e-08   -3.3118477373e-08   -4.2965385359e-08
 284.0000000    1.0607195158e-06    3.9397946321e-07   -1.9768356468e-08   -4.7684608219e-08
 285.0000000    1.4001997930e-06    6.7113119257e-07    8.7222147741e-09   -2.2903476576e-08
 286.0000000    1.2254730411e-06    6.6947642102e-07    4.3458772866e-08    1.7057542537e-08
 287.0000000    6.3246964866e-07    4.2293931762e-07    7.1538748380e-08    5.2399548712e-08
 288.0000000   -1.4534306725e-07    2.3841234569e-08    8.1449122325e-08    6.5929002045e-08
 289.0000000   -7.6749178188e-07   -3.5880958888e-07    6.7964530773e-08    4.9895897006e-08
 290.0000000   -9.8555396744e-07   -5.3200096999e-07    3.4316385789e-08    9.0517549636e-09
 291.0000000   -8.2844142972e-07   -4.3362720256e-07   -9.2509292031e-09   -4.1176960663e-08
 292.0000000   -4.9943353062e-07   -1.8965764328e-07   -4.9706916427e-08   -8.0691530743e-08
 293.0000000   -1.4186206604e-07    2.7429766576e-08   -7.6212387209e-08   -9.2622665760e-08
 294.0000000    2.1733885538e-07    1.3093573919e-07   -8.3682179283e-08   -7.0093598576e-08
 295.0000000    5.5243508419e-07    1.0994958822e-07   -7.3662436709e-08   -1.9172011542e-08
 296.0000000    7.7328667694e-07    1.8268918141e-08   -5.2605977817e-08    4.3236963218e-08
 297.0000000    7.8880060395e-07   -2.6679232842e-08   -2.8715193811e-08    9.5807800584e-08
 298.0000000    5.6529137473e-07    6.0738388930e-08   -8.8639807201e-09    1.2098396401e-07
 299.0000000    1.1213721563e-07    2.4071491704e-07    3.2974272474e-09    1.1160148839e-07
 300.0000000   -5.0232343110e-07    3.8051088202e-07    7.7266931437e-09    7.3216651741e-08
 301.0000000   -1.0799856667e-06    3.7138899194e-07    7.1996570885e-09    2.1233804313e-08
 302.0000000   -1.3160482819e-06    1.8774636498e-07    5.9535008363e-09   -2.5808778432e-08
 303.0000000   -9.8816327548e-07   -1.4229949747e-07    8.2652250063e-09   -5.3778244349e-08
 304.0000000   -1.7599007418e-07   -5.1643845547e-07    1.7219037135e-08   -5.8029244458e-08
 305.0000000    7.3913292955e-07   -7.3329243177e-07    3.3757282349e-08   -4.3998362257e-08
 306.0000000    1.3461843131e-06   -6.4118118251e-07    5.6122156388e-08   -2.3425480288e-08
 307.0000000    1.4625134422e-06   -2.8139667352e-07    7.9887682824e-08   -8.2947727370e-09
 308.0000000    1.1365353317e-06    1.7796653389e-07    9.8787831724e-08   -5.4551279814e-09
 309.0000000    4.9947533843e-07    5.5981001133e-07    1.0636036943e-07   -1.4288486988e-08
 310.0000000   -3.0621586571e-07    7.1436835168e-07    9.8078808007e-08   -2.8141689342e-08
 311.0000000   -1.0618323716e-06    5.7317925218e-07    7.3296651483e-08   -3.8409849684e-08
 312.0000000   -1.4716257563e-06    2.3890170064e-07    3.6184953504e-08   -3.9044571019e-08
 313.0000000   -1.3509093272e-06   -1.0171974475e-07   -4.9494874055e-09   -2.9307640742e-08
 314.0000000   -7.7421550558e-07   -3.5835160113e-07   -4.0025576261e-08   -1.3645730089e-08
 315.0000000    2.2044564307e-08   -4.9072117212e-07   -6.0571032987e-08    9.7758498553e-10
 316.0000000    7.8413378731e-07   -4.2036490112e-07   -6.2891843163e-08    8.7950500256e-09
 317.0000000    1.2353441029e-06   -1.6490545132e-07   -4.9667915823e-08    8.1199544647e-09
 318.0000000    1.1539443217e-06    8.3474381082e-08   -2.9100758070e-08    2.0295068977e-09
 319.0000000    5.9598638888e-07    1.8345823439e-07   -1.1720933382e-08   -3.4206402614e-09
 320.0000000   -1.0088904889e-07    2.0494756522e-07   -6.0493094078e-09   -2.5208870338e-09
 321.0000000   -6.0928534404e-07    2.4850417897e-07   -1.4971807858e-08    6.9146022430e-09
 322.0000000   -8.0105739584e-07    2.6342723745e-07   -3.4529335076e-08    2.2157611093e-08
 323.0000000   -6.7358792481e-07    1.5089244603e-07   -5.5804829771e-08    3.6739842160e-08
 324.0000000   -3.0261914835e-07   -6.2468068330e-08   -6.9122685123e-08    4.3662904824e-08
 325.0000000    1.4169142431e-07   -2.4053723143e-07   -6.8578624812e-08    3.9017419194e-08
 326.0000000    4.4753835230e-07   -2.7230714478e-07   -5.4656807673e-08    2.4102885054e-08
 327.0000000    4.6873710181e-07   -1.5622824991e-07   -3.3597341435e-08    4.8938126840e-09
 328.0000000    2.2611217411e-07    6.2427941107e-10   -1.3859102417e-08   -1.0875525913e-08
 329.0000000   -8.1744190075e-08    6.5790851312e-08   -1.6049435728e-09   -1.7429351265e-08
 330.0000000   -2.1490528681e-07    1.7634497329e-08    2.2838443072e-09   -1.3480431026e-08
 331.0000000   -1.1877340184e-07   -4.3480294243e-08    1.9846584378e-09   -2.3197743964e-09
 332.0000000    3.8581599824e-08   -2.9163864928e-08    3.4681785860e-09    1.0346902652e-08
 333.0000000    9.2846573564e-08    4.1850833320e-08    1.0188296659e-08    1.9382873957e-08
 334.0000000    3.3203968276e-08    1.0128119246e-07    2.0437843828e-08    2.2295979121e-08
 335.0000000   -5.7038539334e-08    1.2414049668e-07    2.8164320980e-08    1.9455933766e-08
 336.0000000   -8.9103310832e-08    1.2449667046e-07    2.6950211914e-08    1.2773539812e-08
 337.0000000   -3.2101411817e-08    9.5117282483e-08    1.4816866504e-08    4.0567937846e-09
 338.0000000    5.4030572417e-08    1.3025434947e-08   -3.2127111618e-09   -5.7734512166e-09
 339.0000000    7.5505157717e-08   -1.0187912418e-07   -1.6715951197e-08   -1.6262221628e-08
 340.0000000    2.7973619974e-08   -1.7173603660e-07   -1.5140868467e-08   -2.6421272289e-08
 341.0000000   -1.0398014143e-08   -1.4455453168e-07    6.0382019068e-09   -3.4185770776e-08
 342.0000000   -7.0863487406e-09   -6.3689367160e-08    4.1806218715e-08   -3.6952807744e-08
 343.0000000    7.3162732178e-10    6.1369144793e-10    7.8943216905e-08   -3.2958567272e-08
 344.0000000   -1.5490841907e-08    3.7577354465e-08    1.0175673311e-07   -2.2574248382e-08
 345.0000000   -3.1954528862e-08    6.7654789318e-08    9.9297860340e-08   -8.5897701817e-09
 346.0000000   -1.2474915470e-08    7.6811847812e-08    7.0329526218e-08    4.8122926882e-09
 347.0000000    4.2993152586e-08    5.0921354235e-08    2.3592801973e-08    1.3868545478e-08
 348.0000000    8.7459282627e-08    2.5019793535e-08   -2.6500553661e-08    1.6841757443e-08
 349.0000000    5.0514188741e-08    2.9764416117e-08   -6.6257780429e-08    1.4584253422e-08
 350.0000000   -5.6152906348e-08    4.2604051784e-08   -8.7855147609e-08    9.8394463141e-09
 351.0000000   -1.2136412868e-07    1.8237232675e-08   -9.0963496906e-08    5.7412003173e-09
 352.0000000   -1.0581714470e-07   -6.1659752027e-08   -8.0698856925e-08    4.3232664393e-09
 353.0000000   -8.5216932566e-08   -1.3971161487e-07   -6.3660550472e-08    5.7419674425e-09
 354.0000000   -8.1334448169e-08   -1.2393841660e-07   -4.4479981725e-08    8.4793023453e-09
 355.0000000   -1.9182125402e-08   -2.2621371625e-08   -2.4541210041e-08    1.0303443769e-08
 356.0000000    1.1335791640e-07    5.5099093665e-08   -3.0202452139e-09    9.4544013985e-09
 357.0000000    2.1826975392e-07    5.8461026308e-08    2.0891107617e-08    5.4939146921e-09
 358.0000000    2.2515379685e-07    4.0443685532e-08    4.6097026222e-08   -5.2827195926e-10
 359.0000000    1.4985660527e-07    5.2764809716e-08    6.9048969348e-08   -6.6058998720e-09
 360.0000000    2.6067897113e-08    8.0091091282e-08    8.4634995536e-08   -1.0709178573e-08
 361.0000000   -1.0644589672e-07    6.7531040167e-08    8.7911000300e-08   -1.1659461190e-08
 362.0000000   -1.7775975562e-07   -3.3276266469e-09    7.5888576926e-08   -9.5371495945e-09
 363.0000000   -1.5401790280e-07   -7.7585739359e-08    4.8801884030e-08   -5.4616801486e-09
 364.0000000   -9.3579610891e-08   -8.4650266489e-08    1.0572899352e-08   -9.1032826435e-10
 365.0000000   -5.8693026845e-08   -2.3965207811e-08   -3.1630840542e-08    3.0196668256e-09
 366.0000000   -2.4567543550e-08    3.1269874767e-08   -6.8771253659e-08    5.9913254586e-09
